# This is a tab delimited spreadsheet (TSV) for all Heimdall messages.						
# The message levels are best practice (b), info (i), warning (w), error (e), and critical (c).						
code	label_en	description_en	label_fr	description_fr	url_en	url_fr
b011	Top-level file or folder in CMCCONST	There are references to files or folders in the root level of the CMCCONST folder. It is recommended instead to use folders in CMCCONST. The file ‘{file_path}’ contains:\n{matching_string}	Fichier ou dossier de niveau supérieurdosier dans CMCCONST	Il y a des références à des fichiers ou des dossiers dans la racine du dossier CMCCONST. Il est recommandé d'utiliser plutôt des dossiers dans CMCCONST. Le fichier '{file_path}' contient:\n{matching_string}	https://gitlab.science.gc.ca/CMOI/best-practices/blob/master/en/constants.md	https://gitlab.science.gc.ca/CMOI/best-practices/blob/master/fr/constants.md
b012	Deprecated archive file	The file ‘{bad}’ is a deprecated archive file and should be deleted. If the hub has no other archive files, its archiving status should be examined.	Fichier d'archive dépréciée	Le fichier '{bad}' est un fichier d'archive dépréciée et doit être supprimé. Si le ‘hub’ n'a pas d'autres fichiers d'archive, son état d'archivage doit être examiné.	https://wiki.cmc.ec.gc.ca/wiki/Archive	
b013	Unclear folder name	The folder ‘{unclear}’ should have a descriptive soft link next to it. For example ‘forecast -> e1’. This gives newbies one less thing to memorize when getting started.	Nom du dossier pas claire	Le dossier '{unclear}' devrait avoir un lien souple descriptif à côté. Par exemple 'forecast -> e1. Cela donne les débutants une chose de moins à mémoriser.	https://wiki.cmc.ec.gc.ca/wiki/Obfuscation	
b014	Bad node name	Bad node name ‘{node_name}’ in flow XML ‘{flow_path}’. This name works, but the recommendation is to match this regex: {regex}	Nom du nœud mauvais	Mauvais nom du noeud '{node_name}' en flow XML '{flow_path}'. Ce nom fonctionne, mais la recommandation est de faire correspondre cette regex: {regex}	https://regex101.com/	
b015	Non-standard variables in batch resource	The BATCH attribute ‘{attribute_name}’ in ‘{resource_path}’ uses a non-standard variable ‘{attribute_value}’. Consider using a standard variable instead so configuration is easier to track and change: {recommended}	Noms de variables non standard dans des ressources BATCH	L'attribut BATCH ‘{attribute_name}’ dans '{resource_path}' utilise une variable non-standard '{attribute_value}'. Pensez à utiliser une variable standard à la place si la configuration est plus facile à suivre et changer: {recommended}	https://wiki.cmc.ec.gc.ca/wiki/Maestro/folders/resources	
b016	Inconsistent file owners or permissions	The file ‘{path}’ has ownership and permissions ‘{ugp}’ but most experiment files have ‘{expected}’. The owner, group, and permissions of permanent experiment files should be the same.	Propriétaires ou autorisations de fichiers inconsistants	Le fichier '{path}' a la propriété et les autorisations '{ugp}', mais la plupart des fichiers d'expérience ont '{expected}’. Le propriétaire, le groupe et les permissions des fichiers d'expérience permanents devraient être les mêmes.		
b017	Found SEQ_ instead of MAESTRO_	The deprecated variable ‘{old}’ was found in ‘{path}’. Consider using the equivalent variable ‘{new}’ instead. This helps newbies understand your project since they will know this variable is related to maestro.	Trouvé SEQ_ au lieu de MAESTRO_	La variable dépréciée '{old}' a été trouvée dans '{path}'. Pensez à utiliser la variable équivalente '{new}’ à la place. Cela aide les débutants à comprendre votre projet, car ils sauront cette variable est liée à maestro.		
b018	Uppercase variable is redefined	The uppercase variable ‘{variable}’ is defined more than once in the file ‘{path}’. Uppercase variables in bash should be considered constant and not changed.	Variable en majuscule est redéfinie	La variable majuscule '{variable}' est défini plus d'une fois dans le fichier '{path}'. Les variables en majuscules bash doivent être considérés comme constants et non modifiés.	https://google.github.io/styleguide/shellguide.html#s7.3-constants-and-environment-variable-names	
b019	Readme is not markdown	The file ‘{readme}’ looks like a ‘read me’ file. Consider writing it in markdown and renaming it to ‘{suggested}’ so that it appears automatically and formatted on platforms like GitLab.	Readme n’est pas en markdown	Le fichier '{readme}' ressemble à un fichier 'readme'. Considérez écrire dans ‘markdown’ et renommant '{suggested}' pour qu'il apparaisse automatiquement et formaté sur des plateformes comme GitLab.	https://www.youtube.com/watch?v=SCAfcuQ0dBE	
b020	Literal path instead of CMCPROD	Literal paths to ‘hall3’ or ‘hall4’ were found. Consider using the CMCPROD variable instead so your project follows switchover configurations. The file ‘{file_path}’ contains:\n{matching_string}	Chemin littérales au lieu de CMCPROD	Chemins littérales à 'hall3' ou 'hall4' ont été trouvés. Pensez à utiliser la variable CMCPROD à la place afin que votre projet suit les ‘switchover’ des configurations. Le fichier '{file_path}' contient:\n{matching_string}	https://wiki.cmc.ec.gc.ca/wiki/Cmcprod	
b021	Absolute path in config instead of getdef	The configuration file ‘{config}’ should use getdef instead of absolute hard coded paths. For example: ABC=$(getdef resources ABC)\nAbsolute paths:\n{values}	Chemin absolu dans la configuration au lieu de getdef	Le fichier de configuration '{config}' doit utiliser getdef au lieu de chemins codés en dur absolus. Par exemple: ABC=$(getdef resource ABC)\nChemins absolute:\n{values}	https://wiki.cmc.ec.gc.ca/wiki/User:Lims/projects/tech_transfer_improvements#Making_variables_configurable_from_high_level	
b022	Identical files in module	The content of files in the same module are identical. Consider replacing duplicate files with soft links to one file, so fixing and updating one fixes and updates all. Or distinguish the files with comments. Files:\n{paths}	Fichiers identiques dans le module	Le contenu des fichiers dans le même module sont identiques. Envisager de remplacer les fichiers en double avec des liens souples, alors que un mise à jour s’applique à tous. Ou, distinguer les fichiers avec des commentaires. Fichiers:\n{paths}	https://en.wikipedia.org/wiki/Don%27t_repeat_yourself	https://fr.wikipedia.org/wiki/Ne_vous_r%C3%A9p%C3%A9tez_pas
b023	Etiket variables not defined in etikets.cfg	The etiket variables {etikets} were defined in ‘{bad_path}’ but they should be defined in ‘{good_path}’. Etiket variables are discovered by this scanner based on their “ETIK” name and the use of ‘pgsm’ and ‘editfst’.	Variables etiket non définies dans etikets.cfg	Les variables etiket {etikets} ont été définis dans '{bad_path}' mais ils doivent être définis dans '{good_path}'. Les variables etiket sont découverts par ce scanner en fonction de leur 'ETIK' nom et l'utilisation de 'pgsm' et 'editfst'.	https://wiki.cmc.ec.gc.ca/wiki/Etikets.cfg	
b024	Defined but unused configuration variables	The configuration file ‘{config}’ defines the variables ‘{unused}’ but they are not used. Consider removing them.	Variables de configuration sont défini mais pas utilisées	Le fichier de configuration '{config}’ définit les variables ‘{unused}', mais ils ne sont pas utilisés. Envisager de les supprimer.		
b025	Bad git remote origin	The experiment seems to have the ‘{context}’ context but the git remote ‘origin’ points to ‘{bad}’. Instead the remote should start with ‘{good}’.	Mauvais git remote origin	L'expérience semble avoir le '{context}' contexte, mais la git remote 'origin' pointe vers '{bad}’. Au lieu de cela la remote doit commencer par '{good}’.		
c001	No EntryModule	EntryModule link does not exist: ‘{entry_module}’	Pas de EntryModule	Lien EntryModule n'existe pas: '{entry_module}'	https://wiki.cmc.ec.gc.ca/wiki/EntryModule	
c002	Bad EntryModule	EntryModule is not a link: ‘{entry_module}’	Mauvais EntryModule	EntryModule n'est pas un lien: '{entry_module}'	https://wiki.cmc.ec.gc.ca/wiki/EntryModule	
c003	No experiment here	Could not find an experiment for path: '{path}'. A valid experiment folder contains an 'EntryModule' link.	Aucune expérience ici	Impossible de trouver une expérience pour le chemin: '{path}'. Un dossier d'expérience valide contient un lien ‘EntryModule’.	https://wiki.cmc.ec.gc.ca/wiki/EntryModule	
c004	No EntryModule flow.xml	The required EntryModule flow.xml file does not exist: ‘{flow_xml}’	Pas de EntryModule flow.xml	Le fichier requis flow.xml de EntryModule n'existe pas: '{flow_xml}'	https://wiki.cmc.ec.gc.ca/wiki/EntryModule	
c005	Bad EntryModule flow.xml	The required EntryModule flow.xml file failed to parse as XML: ‘{flow_xml}’	Mauvais EntryModule flow.xml	Le fichier requis flow.xml de EntryModule n'a pas réussi à analyser comme XML: '{flow_xml}'	https://wiki.cmc.ec.gc.ca/wiki/EntryModule	
e001	Missing suite folders	All suites require the folders: ‘listings’, ‘sequencing’, and ‘logs’. This suite is missing: {folders}	Dossiers manquants dans la suite	Toutes les suites ont besoin les dossiers: ‘listings’, ‘sequencing’, and ‘logs’. Cette suite est manquante: {folders}	https://wiki.cmc.ec.gc.ca/wiki/Maestro_Files_and_Folders	
e002	Bad XML	Failed to parse XML: ‘{xml}’	Mauvais XML	Impossible d’analyser XML ‘{xml}'		
e003	Invalid node name	Invalid node name ‘{node_name}’ in flow XML ‘{flow_path}’. Node names must be alphanumeric with dot, dash, or underscores. Must match the regex: {regex}	Nom de nœud non valide	Nom de nœud non valide '{node_name}' en flow XML '{flow_path}'. Les noms de nœuds doivent être alphanumériques avec points, tirets ou des underscores. Doit correspondre à regex: {regex}	https://regex101.com/	
e004	Broken symlink	The target of soft link ‘{link}’ does not exist.	Cassé symlink	Le cible de soft link '{link}' n'existe pas.	https://www.google.com/search?q=linux+find+broken+symlinks	
e005	Scattered module flow	The flow XML children for module ‘{module_name}’ are defined in more than one flow XML:\n{flow_xmls}	Module flow est épars	Les enfants de flow XML pour le module '{module_name}' sont définis dans plus d'un flow XML:\n{flow_xmls}	https://gitlab.science.gc.ca/CMOI/mflow-prototype/issues/23#note_189290	
e007	Missing required resource file	The task ‘{task_path}’ has no resource file at ‘{resource_path}’. This is required for the ‘{context}’ context.	Fichier de ressource nécessaire manquante	La tâche '{task_path}' n'a pas de fichier de ressources à '{resource_path}'. Cela est nécessaire pour le '{context}' contexte.	https://wiki.cmc.ec.gc.ca/wiki/Maestro/folders/resources	
e008	Missing curly brackets in resource xml	Variables in resource XMLs must use curly brackets like ‘${{ABC}}’ not ‘$ABC’. The file ‘{file_path}’ contains:\n{matching_string}	Manquantes accolades dans un xml ressource	Les variables dans les fichiers XML de ressources doivent utiliser des accolades comme '${{ABC}}' et non '$ABC'. Le fichier '{file_path}' contient:\n{matching_string}	https://wiki.cmc.ec.gc.ca/wiki/Maestro/folders/resources	
e009	Unbalanced curly brackets in resource xml	Found an uneven number of curly brackets ‘{attribute_value}’ in a resource file: ‘{file_path}’	Accolades déséquilibrées dans un xml ressource	Trouvé un nombre impair {attribute_value} d’accolades dans un fichier de ressources: '{file_path}'		
e010	Hard coded path in config file	The path ‘{bad_path}’ defined in ‘{config_path}’ is absolute and does not start with a variable like ‘${{SEQ_EXP_HOME}}’. This is a less portable and more fragile way to configure an experiment.	Chemin dur codé dans le fichier de configuration	Le chemin '{bad_path}' défini dans '{config_path}' est absolue et ne commence pas par une variable comme '${{SEQ_EXP_HOME}}'. Ceci est une façon moins portable et plus fragile pour configurer une expérience.		
e011	Dependency experiment does not exist	The ‘exp’ attribute ‘{exp_value}’ in the resources file ‘{resource_path}’ is not a path to a folder that exists.	Expérience de dépendance n'existe pas	Le 'exp' attribut '{exp_value}' dans le fichier de ressources '{resource_path}' n’est pas un chemin à un dossier qui existe.	https://wiki.cmc.ec.gc.ca/wiki/Maestro/folders/resources	
e012	Undefined resource XML variables	The resource XML ‘{resource_path}’ uses variables that are not defined in any resource files like ‘resources/resources.def’. Variables:\n{variable_names}	Variables indéfinies de xml ressource	Le XML ressources '{resource_path}' utilise des variables qui ne sont pas définies dans les fichiers de ressources comme 'resources/resources.def'. Variables:\n{variable_names}	https://wiki.cmc.ec.gc.ca/wiki/Maestro/folders/resources	
e013	Dissemination state does not match context	The experiment seems to have the ‘{context}’ context but variables in ‘{cfg_path}’ do not match what is expected: {unexpected}	État de diffusion ne correspond pas à contexte	L'expérience semble avoir le '{context}' contexte, mais les variables dans '{cfg_path}' ne correspond pas à ce qui est attendu: {unexpected}	https://wiki.cmc.ec.gc.ca/wiki/Dissemination	
e014	Non-links in hub	Experiments with the ‘{context}’ context can only have soft link folders in their ‘hub’ folder:\n{bad}	Non-liens dans hub	Les expériences avec le '{context}' contexte ne peuvent avoir des dossiers de liens souples dans leur dossier 'hub':\n{bad}	https://wiki.cmc.ec.gc.ca/wiki/Maestro/folders/hub	
e015	Resource value higher than maximum	The resource value ‘{value}’ for ‘{attribute}’ in ‘{xml_path}’ is higher than the maximum of ‘{maximum}’ defined in jobctl-qstat for queue ‘{queue}’.	Valeur des ressources plus que le maximum	La valeur de la ressource '{value}' pour '{attribute}' dans '{xml_path}' est plus que le maximum de ‘{maximum}' défini dans ‘jobctl-qstat’ pour la file d'attente ‘{queue}'.	https://wiki.cmc.ec.gc.ca/wiki/Maestro/folders/resources	
e016	No git repo	There is no git repo tracking this experiment. Experiments with the ‘{context}’ context should always be version controlled with git.	Pas de dêpot git	Il n'y a pas de dépôt git pour cette expérience. Les expériences avec le '{context}' contexte devraient toujours avoir le contrôle de version git.		
e017	Duplicate name in flow container	The container ‘{container_name}’ in a flow XML has more than one element with the name or subname ‘{duplicate_name}’. All direct children in a container must have a unique name or subname.	Nom en double dans le conteneur flow	Le contenant '{container_name}' dans un flow XML a plus d'un élément avec le ‘name’ ou ‘sub_name’ '{duplicate_name}'. Tous les enfants directs dans un conteneur doit avoir un ‘name’ ou ‘sub_name’ unique.		
e018	Submits element has name attribute	All SUBMITS elements should have a ‘sub_name’ attribute not a ‘name’ attribute. The file ‘{file_path}’ contains:\n{matching_string}	Élément submits a l’attribut name	Tous les éléments de SUBMITS doivent avoir un attribut 'sub_name' et non un attribut 'name'. Le fichier '{file_path}' contient:\n{matching_string}	https://wiki.cmc.ec.gc.ca/wiki/Maestro/SUBMITS	
e019	Non-submits element has sub_name attribute	Only SUBMITS elements should have a ‘sub_name’ attribute. You may need to use the ‘name’ attribute instead. The file ‘{file_path}’ contains:\n{matching_string}	Élément non-submits a l’attribut sub_name	Seuls les éléments de SUBMITS doivent avoir un attribut 'sub_name'. Vous devrez peut-être utiliser l'attribut 'name' au lieu. Le fichier '{file_path}' contient:\n{matching_string}	https://wiki.cmc.ec.gc.ca/wiki/Maestro/SUBMITS	
e020	Inconsistent log folder owners or permissions	The log folder ‘{path}’ has ownership and permissions ‘{ugp}’ which is different from the other log folders. The permissions of the temporary log folders should be the same: {folders}	Inconsistant propriétaires ou autorisations du dossier log	Le dossier du journal '{path}' a la propriété et les autorisations '{ugp}' qui est différent des autres dossiers de journaux. Les permissions des dossiers journaux temporaires devraient être les mêmes: {folders}	https://wiki.cmc.ec.gc.ca/wiki/Maestro_Files_and_Folders	
e021	Duplicate resource definitions	The variable ‘{variable}’ is defined more than once in the file ‘{path}’. Tools like getdef may behave unexpectedly.	Définitions ressources en double	La variable '{variable}' est défini plus d'une fois dans le fichier '{path}'. Des outils tels que getdef peuvent se comporter de façon inattendue.		
e022	Missing stats folder	The ‘stats’ folder is missing but required because the resource variables SEQ_RUN_STATS_ON and SEQ_AVERAGE_WINDOW are used: ‘{required}’	Dossier stats manquante	Le dossier 'stats' est manquante, mais nécessaire parce que les variables de ressources SEQ_RUN_STATS_ON et SEQ_AVERAGE_WINDOW sont utilisés: ‘{required}'	https://wiki.cmc.ec.gc.ca/wiki/Maestro/folders/stats	
e023	Bad loop expression	The file ‘{path}’ has a bad loop expression ‘{loop_expression}’. This should be comma delimited sets of numbers in the format ‘start:end:step:set’.	Mauvais expression de boucle	Le fichier '{path}' a une mauvaise expression de boucle '{loop_expression}'. Cela devrait être des virgules qui séparent les nombres dans le format 'début:fin:étape:set'.	https://wiki.cmc.ec.gc.ca/wiki/Maestro/1.5.0/Release_Notes#Multi-definition_numeric_loops	
e024	Bad permissions on operational log folders	The log folder ‘{folder}’ should have ‘{expected}’ permissions but instead it has ‘{ugp}’.	Mauvaises autorisations sur les dossiers de log opérationnels	Le dossier du journal '{folder}' doit avoir les autorisations '{expected}' mais il a '{ugp}’.	https://wiki.cmc.ec.gc.ca/wiki/Maestro_Files_and_Folders	
e025	Realpath link is non-operational path	The experiment seems to have the ‘{context}’ context but the file ‘{path}’ contains references to a non-operational user’s home:\n{bad}	Realpath lien est chemin non opérationnel	L'expérience semble avoir le '{context}' contexte, mais le fichier '{path}' contient des références à un utilisateur non opérationnel:\n{bad}		
e026	Link chain contains non-operational path	The experiment seems to have the ‘{context}’ context but the file ‘{path}’ is a chain of links, which contains a non-operational user’s home. The realpath for the link is okay, but traversing it is not:\n{bad}	Chaîne de lien contient un chemin non opérationnel	L'expérience semble avoir le '{context}' contexte, mais le fichier '{path}' est une chaîne de liens, qui contient un chemin d'un utilisateur non opérationnel. Le ‘realpath’ pour le lien est correct, mais pas en traversant:\n{bad}		
i001	Multiple homes for project	The maestro experiment is found in the home folder ‘{real_home}’ but core maestro files are soft links to other user homes. This may be unstable. Links:\n{bad_links}	Plusieurs chemins pour le projet	L'expérience maestro se trouve dans le dossier de '{real_home}' mais les fichiers maestro principaux sont des liens souples vers d'autres utilisateurs. Cela peut être instable. Liens:\n{bad_links}	https://wiki.cmc.ec.gc.ca/wiki/User:Maciaa/home_references	
i002	Module name and path differ	The module folder ‘{folder_name}’ differs from the module name ‘{attribute_name}’ in the flow XML ‘{xml_path}’. This can help organize a project, but it may also be confusing.	Nom du module et chemin diffèrent	Le dossier du module '{folder_name}’ diffère du nom du module '{attribute_name}’ dans le flow XML '{xml_path}'. Cela peut aider à organiser un projet, mais il peut aussi être un source de confusion.		
i003	Text editor swap files	Text editor swap files were found, for example for vim or emacs. If your editor is closed, you may want to recover or delete these:\n{swaps}	Fichiers temporaires d’un éditeur de texte	Fichiers temporaire d’un éditeur de texte ont été trouvés, par exemple pour vim ou emacs. Si votre éditeur est fermé, vous pouvez les récupérer ou supprimer:\n{swaps}	https://www.google.com/search?q=what+is+a+text+editor+swap+file	
i004	Git repo has uncommited changes	There are uncommited changes in the git repo.	Dêpot git avec des changements pas engagé	Il y a des changements non-engagé dans la dépôt git.		
i005	Unknown nodelogger signal	The executable ‘nodelogger’ was given a signal for its ‘-s’ argument that is not a known signal: {signals}. This message won’t appear in the message center. If you don’t want it to appear in the message center, use ‘infox’. \n{details}	Signal inconnu de nodelogger	Le 'nodelogger' exécutable a été donné un signal pour son argument '-s' qui n'est pas un signal connu: {signals}. Ce message n'apparaîtra dans le centre de messages. Si vous ne voulez pas qu'il apparaisse dans le centre de message, utilisez 'infox'.\n{details}	https://wiki.cmc.ec.gc.ca/wiki/Nodelogger	
i006	Lead developers from git history	Based on the git history for this project (commit frequency, recency, continuity) these seem to be the lead developers:\n{developers}	Développeurs principaux de l'histoire git	En regardant l'histoire git pour ce projet (commit fréquence, récence, continuité) ceux-ci semblent être les développeurs principaux:\n{developers}		
i007	Absolute developer paths	The file ‘{path}’ contains absolute paths to a non-operational user’s home. This cannot be installed operationally:\n{bad}	Chemins développeurs absolus	Le fichier '{path}' contient des chemins absolus à un utilisateur non opérationnel. Cela ne peut pas être installé opérationnellement:\n{bad}		
i008	Old SSM version	The file ‘{path}’ uses an SSM package ‘{old}’ but a newer version ‘{new}’ is available.	Ancienne version SSM	Le fichier '{path}' utilise un paquet SSM '{old}', mais une version plus récente '{new}' est disponible.	https://wiki.cmc.ec.gc.ca/wiki/Ssm	
i009	Resources with valid hours	Tasks in this project have resource configurations which change depending on time of day. Look for the ‘valid_hour’ or ‘valid_dow’ attributes:\n{paths}	Ressources avec des heures valides	Les tâches de ce projet ont des configurations de ressources qui changent selon l'heure du jour. Recherchez le 'valid_hour' ou 'valid_dow' attributs:\n{paths}	https://wiki.cmc.ec.gc.ca/wiki/Maestro/folders/resources	
i010	No hcrons	No active configuration files for ‘{suite_name}’ were found in ‘{hcron_folder}’. The suite will not run automatically.	Pas de hcrons	Aucun fichier de configuration actifs pour '{suite_name}' ont été trouvés dans '{hcron_folder}'. La suite ne roulera pas automatiquement.	https://wiki.cmc.ec.gc.ca/wiki/Hcron	
w001	Missing resource file	The task ‘{task_path}’ has no resource file at ‘{resource_path}’. Create a resource file to avoid using unknown defaults.	Fichier de ressources manquante	La tâche '{task_path}' n'a pas de fichier de ressources à '{resource_path}'. Créer un fichier de ressources pour éviter d'utiliser les valeurs défaut et inconnus.	https://wiki.cmc.ec.gc.ca/wiki/Maestro/folders/resources	
w002	Missing loop resource file	The loop or switch ‘{node_path}’ has no resource file at ‘{resource_path}’. Create a resource file to avoid using unknown defaults.	Fichier de ressources boucle manquante	La boucle ou un switch '{node_path}' n'a pas de fichier de ressources à '{resource_path}'. Créer un fichier de ressources pour éviter d'utiliser les valeurs défaut et inconnus.	https://wiki.cmc.ec.gc.ca/wiki/Maestro/folders/resources	
w003	Deprecated site1/site2	The paths site1 and site2 are no longer available after the upgrades in early 2020. The file ‘{file_path}’ contains:\n{matching_string}	Obsolète site1/site2	Les chemins ‘site1’ et ‘site2’ ne sont plus disponibles après les mises à jour au début de 2020. Le fichier '{file_path}' contient:\n{matching_string}		
w004	Deprecated hall1/hall2	The paths hall1 and hall2 are no longer available after the upgrades in early 2020. The file ‘{file_path}’ contains:\n{matching_string}	Obsolète hall1/hall2	Les chemins ‘hall1’ et ‘hall2’ ne sont plus disponibles après les mises à jour au début de 2020. Le fichier '{file_path}' contient:\n{matching_string}		
w005	Multiple homes for project	The maestro experiment is found in the home folder ‘{real_home}’ but core maestro files are soft links to other user homes. This may be considered too unstable to install operationally. Run realpath on these links:\n{bad_links}	Plusieurs chemins pour le projet	L'expérience maestro se trouve dans le dossier de '{real_home}' mais les fichiers maestro principaux sont des liens souples vers d'autres utilisateurs. Cela peut être considéré comme trop instable pour installer opérationnellement. Exécutez realpath sur ces liens:\n{bad_links}	https://wiki.cmc.ec.gc.ca/wiki/User:Maciaa/home_references	
w006	Hard coded path in config file	The path ‘{bad_path}’ defined in ‘{config_path}’ is absolute and does not start with a variable like ‘${{SEQ_EXP_HOME}}’. This is a less portable and more fragile way to configure an experiment.	Chemin codé dur dans le fichier de configuration	Le chemin '{bad_path}' défini dans '{config_path}' est absolue et ne commence pas par une variable comme '${{SEQ_EXP_HOME}}'. Ceci est une façon moins portable et plus fragile pour configurer une expérience.	https://wiki.cmc.ec.gc.ca/wiki/SEQ_EXP_HOME	
w007	No support status in operational experiment	There is no SupportInfo attribute in the XML ‘{xml_path}’ or the XML does not exist. This is required for operational experiments.	Aucun statut de soutien dans l'expérience opérationnelle	Il n'y a pas d'attribut ‘SupportInfo’ dans le XML ‘{xml_path}' ou le XML n'existe pas. Cela est nécessaire pour les expériences opérationnelles.	https://wiki.cmc.ec.gc.ca/wiki/Maestro/ExpOptions.xml	
w008	Multiple support statuses	The XML ‘{xml_path}’ has more than one SupportInfo element.	Multiples statuts de soutien	Le XML '{xml_path}' a plus d'un élément SupportInfo.	https://wiki.cmc.ec.gc.ca/wiki/Maestro/ExpOptions.xml	
w009	Resource variable typo	The resource variable ‘{maybe_typo}’ is defined but the standard variable name ‘{expected}’ is not. Did you mean that instead?	Variable de ressource faute de frappe	La variable ressource '{maybe_typo}’ est défini, mais le nom de la variable standard '{expected}' n’est pas. Peut-être que vous vouliez écrire cela à la place.	https://wiki.cmc.ec.gc.ca/wiki/User:Lims/projects/tech_transfer_improvements#Using_standard_variables_for_machine_and_queue_definitions	
w010	Bad queue value for resource variable	The value ‘{value}’ for the resource variable ‘{name}’ is not a queue available in qstat. Queues:\n{queues}	Valeur incorrecte de file d'attente pour variable ressource	La valeur '{value}' pour la variable ressource '{name}' est pas une file d'attente disponible en qstat. Files d'attente:\n{queues}		
w011	Experiment not in overview XML	The experiment seems to have the ‘{context}’ context but it was not found in the {exp_count} experiments in the overview XML: {xml_path}	Expérience n'est pas en overview XML	L'expérience semble avoir le '{context}' contexte, mais il n'a pas été trouvé dans les expériences de {exp_count} dans le fichier XML overview: {xml_path}	https://wiki.cmc.ec.gc.ca/wiki/Maestro/overview_xml	
w012	Experiment in unexpected overview XML	The experiment seems to have the ‘{context}’ context but it was found in the {exp_count} experiments in the ‘{xml_context}’ context overview XML: {xml_path}	Expérience dans un overview XML inattendu	L'expérience semble avoir le '{context}' contexte, mais il n’a pas été trouvé dans les {exp_count} expériences dans le '{xml_context} XML overview: {xml_path}	https://wiki.cmc.ec.gc.ca/wiki/Maestro/overview_xml	
